PMID,CONSORT_item,is_reported
2647360,12b,N
2647556,3a,Y
2647556,3b,N
2647556,4a,Y
2647556,4b,Y
2647556,5,Y
2647556,6a,Y
2647556,6b,N
2647556,7a,Y
2647556,7b,N
2647556,8a,Y
2647556,8b,N
2647556,9,N
2647556,10,N
2647556,11a,Y
2647556,11b,Y
2647556,12a,Y
2647556,12b,N
2647644,3a,N
2647644,3b,N
2647644,4a,Y
2647644,4b,N
2647644,5,Y
2647644,6a,Y
2647644,6b,N
2647644,7a,N
2647644,7b,N
2647644,8a,N
2647644,8b,N
2647644,9,N
2647644,10,N
2647644,11a,N
2647644,11b,N
2647644,12a,Y
2647644,12b,N
2647817,3a,Y
2647817,3b,N
2647817,4a,Y
2647817,4b,Y
2647817,5,Y
2647817,6a,Y
2647817,6b,N
2647817,7a,N
2647817,7b,N
2647817,8a,N
2647817,8b,N
2647817,9,N
2647817,10,N
2647817,11a,Y
2647817,11b,N
2647817,12a,Y
2647817,12b,N
2647907,3a,N
2647907,3b,N
2647907,4a,N
2647907,4b,Y
2647907,5,Y
2647907,6a,Y
2647907,6b,N
2647907,7a,N
2647907,7b,N
2647907,8a,N
2647907,8b,Y
2647907,9,N
2647907,10,N
2647907,11a,Y
2647907,11b,N
2647907,12a,N
2647907,12b,N
2648447,3a,N
2648447,3b,N
2648447,4a,N
2648447,4b,N
2648447,5,Y
2648447,6a,Y
2648447,6b,N
2648447,7a,N
2648447,7b,N
2648447,8a,N
2648447,8b,N
2648447,9,N
2648447,10,N
2648447,11a,Y
2648447,11b,N
2648447,12a,Y
2648447,12b,N
2648787,3a,Y
2648787,3b,N
2648787,4a,Y
2648787,4b,N
2648787,5,Y
2648787,6a,Y
2648787,6b,N
2648787,7a,N
2648787,7b,N
2648787,8a,N
2648787,8b,N
2648787,9,N
2648787,10,N
2648787,11a,N
2648787,11b,N
2648787,12a,Y
2648787,12b,N
2648788,3a,Y
2648788,3b,N
2648788,4a,Y
2648788,4b,N
2648788,5,Y
2648788,6a,Y
2648788,6b,N
2648788,7a,N
2648788,7b,N
2648788,8a,N
2648788,8b,N
2648788,9,N
2648788,10,N
2648788,11a,Y
2648788,11b,N
2648788,12a,Y
2648788,12b,N
2648791,3a,N
2648791,3b,N
2648791,4a,Y
2648791,4b,N
2648791,5,Y
2648791,6a,Y
2648791,6b,N
2648791,7a,N
2648791,7b,N
2648791,8a,N
2648791,8b,Y
2648791,9,N
2648791,10,N
2648791,11a,N
2648791,11b,N
2648791,12a,Y
2648791,12b,N
2648792,3a,N
2648792,3b,N
2648792,4a,Y
2648792,4b,N
2648792,5,Y
2648792,6a,Y
2648792,6b,N
2648792,7a,N
2648792,7b,N
2648792,8a,N
2648792,8b,N
2648792,9,N
2648792,10,N
2648792,11a,Y
2648792,11b,N
2648792,12a,N
2648792,12b,N
2648890,3a,Y
2648890,3b,N
2648890,4a,Y
2648890,4b,N
2648890,5,Y
2648890,6a,Y
2648890,6b,N
2648890,7a,N
2648890,7b,N
2648890,8a,N
2648890,8b,N
2648890,9,N
2648890,10,N
2648890,11a,N
2648890,11b,N
2648890,12a,Y
2648890,12b,N
2648911,3a,N
2648911,3b,N
2648911,4a,N
2648911,4b,N
2648911,5,Y
2648911,6a,Y
2648911,6b,N
2648911,7a,N
2648911,7b,N
2648911,8a,N
2648911,8b,N
2648911,9,N
2648911,10,N
2648911,11a,N
2648911,11b,N
2648911,12a,N
2648911,12b,N
2649123,3a,Y
2649123,3b,N
2649123,4a,Y
2649123,4b,N
2649123,5,Y
2649123,6a,Y
2649123,6b,N
2649123,7a,N
2649123,7b,N
2649123,8a,N
2649123,8b,N
2649123,9,N
2649123,10,N
2649123,11a,N
2649123,11b,N
2649123,12a,Y
2649123,12b,N
2649300,3a,Y
2649300,3b,N
2649300,4a,Y
2649300,4b,Y
2649300,5,Y
2649300,6a,Y
2649300,6b,N
2649300,7a,N
2649300,7b,N
2649300,8a,N
2649300,8b,N
2649300,9,N
2649300,10,N
2649300,11a,N
2649300,11b,N
2649300,12a,N
2649300,12b,N
2649308,3a,N
2649308,3b,N
2649308,4a,N
2649308,4b,Y
2649308,5,Y
2649308,6a,Y
2649308,6b,N
2649308,7a,N
2649308,7b,N
2649308,8a,Y
2649308,8b,Y
2649308,9,N
2649308,10,Y
2649308,11a,Y
2649308,11b,N
2649308,12a,N
2649308,12b,N
2649339,3a,N
2649339,3b,N
2649339,4a,Y
2649339,4b,N
2649339,5,Y
2649339,6a,Y
2649339,6b,N
2649339,7a,N
2649339,7b,N
2649339,8a,N
2649339,8b,N
2649339,9,N
2649339,10,N
2649339,11a,N
2649339,11b,N
2649339,12a,Y
2649339,12b,N
2649340,3a,N
2649340,3b,N
2649340,4a,N
2649340,4b,N
2649340,5,Y
2649340,6a,Y
2649340,6b,N
2649340,7a,N
2649340,7b,N
2649340,8a,N
2649340,8b,N
2649340,9,N
2649340,10,N
2649340,11a,N
2649340,11b,N
2649340,12a,Y
2649340,12b,N
2649400,3a,Y
2649400,3b,N
2649400,4a,Y
2649400,4b,Y
2649400,5,Y
2649400,6a,Y
2649400,6b,N
2649400,7a,N
2649400,7b,N
2649400,8a,N
2649400,8b,N
2649400,9,N
2649400,10,N
2649400,11a,Y
2649400,11b,N
2649400,12a,N
2649400,12b,N
2649461,3a,N
2649461,3b,N
2649461,4a,Y
2649461,4b,Y
2649461,5,Y
2649461,6a,Y
2649461,6b,N
2649461,7a,N
2649461,7b,N
2649461,8a,N
2649461,8b,N
2649461,9,N
2649461,10,N
2649461,11a,N
2649461,11b,N
2649461,12a,N
2649461,12b,N
2649462,3a,N
2649462,3b,N
2649462,4a,Y
2649462,4b,N
2649462,5,Y
2649462,6a,Y
2649462,6b,N
2649462,7a,N
2649462,7b,N
2649462,8a,N
2649462,8b,Y
2649462,9,N
2649462,10,N
2649462,11a,N
2649462,11b,N
2649462,12a,Y
2649462,12b,N
2649463,3a,N
2649463,3b,N
2649463,4a,Y
2649463,4b,N
2649463,5,Y
2649463,6a,N
2649463,6b,N
2649463,7a,N
2649463,7b,N
2649463,8a,N
2649463,8b,Y
2649463,9,N
2649463,10,N
2649463,11a,N
2649463,11b,N
2649463,12a,Y
2649463,12b,N
2650011,3a,Y
2650011,3b,N
2650011,4a,Y
2650011,4b,N
2650011,5,Y
2650011,6a,Y
2650011,6b,N
2650011,7a,Y
2650011,7b,N
2650011,8a,N
2650011,8b,N
2650011,9,N
2650011,10,N
2650011,11a,Y
2650011,11b,N
2650011,12a,Y
2650011,12b,N
2650517,3a,Y
2650517,3b,N
2650517,4a,Y
2650517,4b,Y
2650517,5,Y
2650517,6a,Y
2650517,6b,N
2650517,7a,N
2650517,7b,N
2650517,8a,N
2650517,8b,N
2650517,9,N
2650517,10,N
2650517,11a,N
2650517,11b,N
2650517,12a,Y
2650517,12b,Y
2650576,3a,N
2650576,3b,N
2650576,4a,N
2650576,4b,N
2650576,5,Y
2650576,6a,Y
2650576,6b,N
2650576,7a,N
2650576,7b,N
2650576,8a,N
2650576,8b,N
2650576,9,Y
2650576,10,N
2650576,11a,Y
2650576,11b,N
2650576,12a,Y
2650576,12b,N
2650701,3a,N
2650701,3b,N
2650701,4a,Y
2650701,4b,Y
2650701,5,Y
2650701,6a,Y
2650701,6b,N
2650701,7a,N
2650701,7b,N
2650701,8a,N
2650701,8b,N
2650701,9,N
2650701,10,N
2650701,11a,Y
2650701,11b,N
2650701,12a,Y
2650701,12b,N
2650896,3a,N
2650896,3b,N
2650896,4a,Y
2650896,4b,N
2650896,5,Y
2650896,6a,Y
2650896,6b,N
2650896,7a,N
2650896,7b,N
2650896,8a,N
2650896,8b,N
2650896,9,N
2650896,10,N
2650896,11a,N
2650896,11b,N
2650896,12a,Y
2650896,12b,N
2651329,3a,N
2651329,3b,N
